,Unnamed: 0,draft_season,player_id,player_name,position,height,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,overall_pick,draft_type,organization,organization_type,player_profile_flag
34,34,2013,203464,Brandon Paul,SG,74.75,76.0,201.0,82.25,98.0,5.25,8.5,9.5,33.5,39.5,11.16,2.9,3.37,15,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.6,0.6,0.4,0.6,0.2,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
35,35,2013,203658,Norvel Pelle,PF-C,81.5,82.5,207.2,86.5,109.0,5.15,8.75,9.5,31.0,34.5,11.49,3.2,3.32,0,1.0,1.0,0.8,0.6,0.6,0.2,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
36,36,2013,203515,Phil Pressey,PG,69.5,71.5,177.0,74.25,92.0,4.7,7.75,9.75,33.0,38.5,10.86,3.02,3.13,7,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,0.6,0.0,0.6,0.6,0.8,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
37,37,2013,203318,Glen Rice,SF-SG,76.5,77.75,210.8,81.25,101.5,8.45,8.5,9.0,33.0,40.5,10.99,3.08,3.25,10,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4,0.6,0.6,0.4,0.2,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,Draft,Michigan,College/University,1.0
38,38,2013,203460,Andre Roberson,PF-SF,78.25,79.0,205.8,83.0,104.5,7.05,8.75,9.5,30.0,36.5,11.36,3.02,3.34,10,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.8,0.6,0.4,0.6,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Draft,Colorado,College/University,1.0
39,39,2013,203491,Peyton Siva,PG,71.5,73.0,180.6,75.0,93.0,6.05,8.0,9.75,33.5,41.5,10.59,2.93,3.16,15,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.8,0.6,0.8,0.4,0.8,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,Draft,Louisville,College/University,1.0
40,40,2013,203503,Tony Snell,SF-SG,78.0,79.25,198.2,83.5,105.5,4.85,9.0,9.5,30.0,36.5,11.36,2.84,3.25,7,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8,0.8,0.8,0.8,0.6,1.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Draft,New Mexico,College/University,1.0
41,41,2013,203480,James Southerland,SF-PF,79.0,80.0,220.6,85.0,106.0,8.05,8.0,9.5,29.0,32.0,10.9,3.03,3.38,5,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.8,0.6,0.4,0.4,0.8,0.6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
42,42,2013,203519,Adonis Thomas,SF,76.75,77.75,231.8,85.0,99.0,7.5,9.25,9.5,34.5,40.5,11.64,3.11,3.32,13,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.8,0.8,0.2,0.8,0.8,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
43,43,2013,203472,Deshaun Thomas,SF,77.0,79.0,219.8,82.0,104.0,9.1,8.0,8.75,28.5,32.0,12.94,3.38,3.53,5,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,Draft,Ohio State,College/University,1.0
44,44,2013,203481,Jeff Withey,C,82.75,84.5,221.8,86.0,110.5,8.65,9.0,9.75,26.5,29.0,12.49,3.29,3.47,10,0.6,0.6,0.6,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,Draft,Kansas,College/University,1.0
45,45,2013,203489,Nate Wolters,PG,75.5,76.75,196.4,75.75,98.0,5.5,8.25,8.75,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8,0.8,0.6,0.6,0.8,0.4,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,Draft,South Dakota State,College/University,1.0
